OBJECTID,Program,PROJIS,Notes,TFPC,Subregion,Municipality,Project Proponent,Project Name,MPO Evaluation Score,Year Programmed,Highway Division,Adjusted TFPC,Funding 2025,Funding 2026,Funding 2027,Funding 2028,Funding 2029,Funding Other,Funding Notes,Associated TIPs,Infrastructure or Service,Project Type,Year Added to Universe,Date of Last Update,Flag for Retirement?,Programmed Cost,Advertise Date,Programmed?,Origin Date,GlobalID,Geometry Notes,To_Score,Design Status,Version Last Updated,Shape__Length,CreationDate,Creator,EditDate,Editor,Response
31,"Intersection
Improvements",605857,"This project includes traffic signal upgrades and associated geometric improvements at the intersection of Route 1 with University Avenue and Everett Street. Related improvements include constructing an additional travel lane in each direction on Route 1, upgrading of traffic signals, lengthening of left-turn lanes on Route 1, upgrading of pedestrian crossings at each leg of the intersection, and upgrading of bicycle amenities (loop detectors) at the intersection. Rehabilitation of sidewalks, curbing, median structures, lighting, and guard rails are also proposed.","$26,573,400",TRIC,Norwood,Norwood,Intersection Improvements at Route 1 and University Avenue/Everett Street,55,2026,5,"$27,636,336",$-,"$27,636,336",$-,$-,$-,,,,Infrastructure,Intersection Improvements,,01/05/2021,,"$27,636,336",09/26/2026,Y,,244675aa-a25d-44c3-a1d9-5bda235838a8,,Yes (rescore),25% Design,0.1,653.536297243931,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
32,Non-Interstate Pavement,S12980,"This line item funds design for complete streets, traffic safety, and transit improvements along Route 20, Granger Boulevard in Marlborough between Mechanic Street and Main Street. This project is expected to be advertised for construction as early as FFY 2030 under Project #612285.","$1,215,000",MWRC,Marlborough,Marlborough,Marlborough- Reconstruction of Granger Boulevard [DESIGN ONLY],79.9,2025,3,"$1,215,000","$1,215,000",$-,$-,$-,$-,,,,Design,Complete Streets,,,,"$1,215,000",,Y,,7716c418-0696-4eb1-bb41-fe10a4b0d953,,,Preliminary Design,0.1,1368.60478702104,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
33,Bicycle and Pedestrian,S12981,"This project will design more than three miles of new shared-use pathways in the communities of Norfolk, Walpole, and Wrentham. Construction of this project would be delivered under Project #613644 and is expected to be advertised for construction as early as FFY 2030. Depending on the findings of design development, implementation may commence under separate phases of the project over multiple years.","$1,550,000",TRIC_and_SWAP,"Norfolk, Wrentham, Walpole","Norfolk, Wrentham, Walpole",Shared-Use Path Installation (Metacomet Greenway) [Design Only],65,2025,5,"$1,550,000","$1,550,000",$-,$-,$-,$-,,,,Design,Bicycle and Pedestrian,,,,"$1,555,000",,Y,,a303cdb5-dcf5-4c80-ae01-9dc36a368090,,,Preliminary Design,0.1,7508.34406552614,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
34,Flex to FTA,S12986,"This project includes the addition of a turn track at Reading Station and improvements to the siding at Wilbur Interlocking on the Lowell Line to enable 30-minute headways in the short term and higher frequencies with electrified rolling stock. Improvements would reduce conflicts with freight traffic and the Amtrak Downeaster while facilitating bus integration. This project was funded for $14 million in FFY 2024 of the FFY 2024–28 TIP, with a total contribution by the Boston Region MPO to this project of $20 million.","$6,000,000",NSPC,"Reading, Woburn",MBTA,Rail Transformation Early Action Items - Reading Station And Wilbur Interlocking,N/A,2025,4,"$6,000,000","$6,000,000",$-,$-,$-,$-,,"14,000,000 programmed as S12821 in FFY 2024",2024-2028,Infrastructure,Transit Transformation,,,,"$20,000,000",,Y,,ff1c7815-c027-4c07-b384-967fe7b40bc3,,,N/A,0.1,58.175440327908,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
35,Multiple,610932,"This project will reconstruct Washington Street in Brookline between Boylston Street and Beacon Street. Washington Street is currently constrained with a narrow right of way that accommodates two lanes of traffic, on-street parking in both directions, bicycling, and significant volumes of pedestrians. Sidewalks are currently in poor condition, and the area contains two HSIP bicycle crash clusters and one pedestrian crash cluster. The project will reconstruct sidewalks along both sides of the entire corridor and will provide protected bicycle facilities in both directions that are separated from vehicular traffic for a vast majority of the corridor. Other multimodal improvements include the provision of dedicated bus pull-out space outside of the travel lanes. The project will also replace the existing signals along Washington Street’s length and will reconstruct the roadway surface.","$25,888,631",ICC,Brookline,Brookline,Rehabilitation of Washington Street,62.4,2027-28,6,"$28,995,267",$-,$-,$-,"$10,000,000","$18,995,267",,,,Infrastructure,Complete Streets,,09/24/2020,,"$28,995,267",04/07/2028,Y,,72637c76-fa93-42d2-9ad3-165d438d6b60,,,PRC Approved,0.1,1849.54080089148,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
36,Bicycle and Pedestrian,S12964,"The City of Revere will install new Bluebikes stations at Griswold Fields at Washington and Malden, and at North Marshall and Salem Street. The project will also procure an additional 40 pedal bicycles for the Bluebikes network. The North Marshall and Salem Street site is adjacent to the Northern Strand Community Trail, which connects Everett to Lynn with 11 miles of continuous off-road paved surface. The City of Revere has two trailheads, and its main trail head is 1/10 of a mile from the city’s second Amazon Distribution Center.","$169,000",ICC,Revere,Revere,Revere- Bluebikes Expansion to Northern Strand and Griswold Park,63.5,2025,6,"$169,000","$169,000",$-,$-,$-,$-,,,,Infrastructure,Community Connections,,,,"$169,000",,Y,,7ee300f4-4d4d-44e9-8897-2015bc6c80f0,,,N/A,0.1,74.5220956249077,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
37,Bicycle and Pedestrian,S12982,"Construction cost expected to be $14,300,000.","$850,000",MWRC,Framingham,Framingham,Chris Walsh Trail Phase 2,79.9,2025,3,"$850,000","$850,000",$-,$-,$-,$-,,,,Infrastructure,Bicycle and Pedestrian,,,,"$850,000",,Y,,71e2cca4-864a-4692-9fca-7b15fcb71366,,,Preliminary Design,0.1,652.313780006704,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
38,Non-Interstate Pavement,S12983,This project will design improvements to various intersections and a rail grade crossing in downtown Sherborn to improve safety for all roadway users. Construction for this project is expected to advertise as early as FFY 2030.,"$900,000",SWAP,Sherborn,Sherborn,Reconstruction Of Route 27 And Route 16 [Design Only],81.8,2025,3,"$900,000","$900,000",$-,$-,$-,$-,,,,Design,Intersection Improvements,,,,"$900,000",,Y,,d1ac3e2d-ba5c-42e1-8925-709775d3fe97,,,Preliminary Design,0.1,1571.28183268868,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
39,Bicycle and Pedestrian,S12966,"This project will implement a new separated bicycle lane along Canal Street from Medford Street to Centre Street in Malden. The onroad bicycle lanes on this moderately trafficked street will connect users to commercial sites, recreational facilities, public assets, and transit facilities. The project further expands the developing Malden Bike Network and provides connectivity to the planned Spot Pond Brook Greenway project (#613088).","$81,250",ICC,Malden,Malden,Canal Street Bicycle Lanes,51.2,2025,4,"$81,250","$81,250",$-,$-,$-,$-,,,,Infrastructure,Community Connections,,,,"$81,250",,Y,,9d79b10f-4f7a-4f5e-80e9-46ec20aee083,,,N/A,0.1,815.876666640364,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
40,"Intersection
Improvements",S12984,"This project will design the signalization of the intersection of Route 16 and Whitney Street in Holliston. The project will also develop safety improvements for users of the Upper Charles River Rail Trail where it crosses Route 16 near by, and extend sidewalk along Route 16 westward to Locust Avenue. This project is expected to advertise for construction as early as FFY 2030.","$250,000",MWRC,Holliston,Holliston,Intersection Improvements At Route 16 And Whitney Street [Design Only],42.8,2025,3,"$250,000","$250,000",$-,$-,$-,$-,,,,Design,Intersection Improvements,,,,"$250,000",,Y,,8bc7bed6-b901-4fc7-8e12-827bc5091b2a,,,Preliminary Design,0.1,280.759522424171,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
41,Flex to FTA,S12985,"Building on Phase 1, Phase 2 of the Columbus Avenue Bus Lanes project includes bus-only lanes, transit signal priority, improvements to bus stops and shelters along Columbus Avenue and Tremont Street, and enhanced pedestrian and bicycle connections into MBTA Orange Line stations at Jackson Square, Roxbury Crossing, and Ruggles. New project elements include green infrastructure to promote traffic calming and reduce impervious surfaces. This project was initially funded for $14.8 million by the Boston Region MPO in the FFY 2021–25 TIP, $11.75 million in the FFY 2024–28 TIP, and now an additional $7.5 million in the FFY 2025–29 TIP for a total MPO contribution of $34.05 million.","$7,500,000",ICC,Boston,MBTA,Columbus Avenue Bus Lanes Phase II,N/A,2025,6,"$7,500,000","$7,500,000",$-,$-,$-,$-,,,,Infrastructure,Transit Transformation,,,,"$7,500,000",,Y,,006ec2f5-81e1-42da-a009-9d0ebb399d39,,,N/A,0.1,3665.60612087969,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
42,"Roadway
Reconstruction",608045,"This project supports enhanced vehicular safety and traffic flow through the implementation of a road diet, additional roadway reconstruction, and enhanced signalization on the Route 16 (East Main Street) corridor from Route 109 (Medway Road) to Beaver Street. In addition, the project also addresses pedestrian and bicyclist safety through the addition of pavement markings for shareduse bike lanes and the construction of new six-foot sidewalks along both sides of the roadway.","$13,027,466",SWAP,Milford,MassDOT,"Rehabilitation of Route 16, from Route 109 to Beaver Street",50,2026,3,"$13,548,565",$-,"$13,548,565",$-,$-,$-,,,,Infrastructure,Complete Streets,,10/13/2023,,"$13,548,565",09/29/2026,Y,,32a6380c-891b-45fe-8a44-5857fdb298fc,,,25% Design,0.1,2254.39285847877,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
43,Bicycle and Pedestrian,613319,"Phase 3 of the Bruce Freeman Rail Trail (BFRT) spans approximately 1.3 miles from Eaton Road W in Framingham to the Sudbury Diamond Railroad Crossing. The proposed trail will be a 10-foot, paved shared-use path along the former railroad corridor with twofoot-dense graded crushed stone shoulders. Sidewalks and pedestrian curb ramps at the at-grade intersection of the trail and Route 20 are proposed to be updated to create an ADA compliant and accessible crossing at the existing signalized intersection of Nobscot Road/Route 20. A parking lot is also being proposed along Nobscot Road, approximately 550 feet south of Route 20. Other work includes fixing or replacing culverts and stream crossings where necessary and implementing safety fencing along the trail where necessary. This project is funded across two federal fiscal years starting in FFY 2029.","$7,350,000",MAGIC,Sudbury,Sudbury,"Bike Path Construction of Bruce Freeman Rail Trail, from the Sudbury Diamond Railroad Crossing to Eaton Road West",50.5,2029-30,3,"$8,526,000",$-,$-,$-,$-,"$4,263,000",,Funding in 2030,,Infrastructure,Bicycle and Pedestrian,,07/09/2024,,"$8,526,000",12/08/2028,Y,,a9a7e2cd-a7f3-4005-b0aa-70d4a5294731,,,25% Design,0.1,4113.25803728597,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
44,Multiple,607981,"This project will remove the existing McCarthy Viaduct along McGrath Boulevard in Somerville and replace it with an at-grade urban boulevard, approximately 1.5 miles long, from Broadway in the north to Third Street in the south. The project will result in more conventional intersection configurations at Washington Street and Somerville Avenue, which are currently under or next to the viaduct. Removing the viaduct will physically reconnect the neighborhoods of Somerville with more direct vehicle, pedestrian, bicycle, and transit networks. The project will enhance transit access along the corridor, improving bus operations and the bus rider experience with the installation of floating/in-lane bus stops, transit signal priority, and bus queue-jump lanes at key intersections. New sidewalks and bicycle facilities will be provided for the length of the proposed McGrath Boulevard and will connect with the extended Somerville Community Path, creating access to the regional bicycle network. The proposed facilities will provide direct intermodal connections to existing bus routes and the new Green Line station in East Somerville. This project is anticipated to be funded over four fiscal years, with the first year of funding in FFY 2027.","$88,250,000",ICC,Somerville,Somerville,McGrath Boulevard Construction,72.2,2027-30,4,"$95,310,000",$-,$-,"$30,000,000","$30,000,000","$30,310,000",,Funding in 2030,,Infrastructure,Major Infrastructure,,10/21/2024,,"$90,310,000",04/02/2027,Y,,8b61ddb4-1001-4170-9d05-2612ed6876c9,,,25% Design,0.1,2124.80368333483,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
45,"Roadway
Reconstruction",609437,"This project aims to improve mobility for vehicles, bicycles, and pedestrians between Salem and Peabody and create separated bicycle facilities between the two municipalities that do not currently exist today. In addition to off-street bicycle facilities, major improvements to the corridor include incorporating Complete Streets design elements such as ADA/AAB-compliant sidewalks, pedestrian ramps, and crosswalks. This project will add a new traffic signal at the intersection of Boston Street and Aborn Street and will upgrade existing traffic signals at the intersections of Boston Street and Essex Street, Boston Street and Bridge Street/Proctor Street/Goodhue Street, and Boston Street and Grove Street/Nichols Street.","$24,187,705",NSTF,"Salem, Peabody",Salem,Boston Street Improvements,67.8,2026,4,"$26,122,721",$-,$-,"$26,122,721",$-,$-,,,,Infrastructure,Complete Streets,,01/26/2024,,"$26,122,721",03/12/2027,Y,,9a16584a-6a27-4744-aef5-629bd0637f4e,,,75% Design,0.1,1754.66201060236,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
46,"Intersection
Improvements",608067,"The intersection of U.S. Route 3 (Cambridge Street) at South Bedford Street and Bedford Road has been identified as a high-crash location in the Boston region. The existing geometry and traffic operations can often present challenges for motorists, pedestrians, and bicyclists. This project will reconstruct the intersection and all traffic signal equipment. Geometry enhancements will be made to accommodate exclusive turn lanes for all approaches to the intersection. The project will include reconstruction of the sidewalk along the east side of Cambridge Street and both sides of the Bedford Road westbound approach, and new sidewalk will be constructed on the south side of South Bedford Street. Bicycle accommodations consisting of five-foot wide bicycle lanes (with two-foot wide buffers where feasible) will be provided, as will ADA-compliant MBTA bus stops on Cambridge Street.","$3,438,311",NSPC,"Burlington, Woburn",Woburn,Intersection Reconstruction at Route 3 (Cambridge Road) & Bedford Road and South Bedford Street,52,2025,4,"$3,438,311","$3,438,311",$-,$-,$-,$-,,,,Infrastructure,Intersection Improvements,,01/22/2024,,"$3,438,311",09/29/2025,Y,,7d55c032-9033-43ef-a2e3-0addaaa8bc3e,,,25% Design,0.1,121.772125808972,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
47,"Roadway
Reconstruction",610662,"This project will improve safety and congestion within the Woburn Common area by making safety and operational improvements on Pleasant Street, reconfiguring the Woburn Common rotary, and reconstructing and realigning roadways. The project will also reconstruct sidewalks, add bike lanes, and upgrade or add signals in the area. This project will be funded across two federal fiscal years starting in FFY 2029.","$16,095,000",NSPC,Woburn,Woburn,"Roadway and Intersection Improvements at Woburn Common, Route 38 (Main Street), Winn Street, Pleasant Street, and Montvale Avenue",75,2027,4,"$18,670,200",$-,$-,$-,$-,"$9,335,200",,Funding in 2030,,Infrastructure,Complete Streets,,12/19/2019,,"$18,670,200",01/05/2029,Y,,c42ce762-3c28-4eea-9d13-b47a8b99326e,,,PRC Approved,0.1,890.574947490364,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
48,Transit Grant Program,S12963,"The Cities of Chelsea and Revere propose a microtransit service that will provide regional, low-cost, on-demand transportation across a 6.5 square mile zone in Chelsea and Revere. The service will offer convenient pick-up and drop-off services that align with riders’ schedules, filling first- and last-mile gaps in the existing transit system and ensuring accessibility to critical destinations, such as grocery stores, healthcare facilities, places of employment, and educational institutions. The applicants estimate 58 passenger trips per day with electric vehicles. As a Microtransit Pilot Project, the project is proposed for funding across three years with $499,649 in Year 1, $450,278 in Year 2, and $463,807 in Year 3.","$1,413,734",ICC,"Chelsea, Revere","Chelsea, Revere",Chelsea and Revere Regional On-Demand Microtransit Pilot Project,53.75,2025-27,6,"$1,413,734","$499,649","$450,278","$463,807",$-,$-,,,,Service,Community Connections,,,,"$1,413,375",,Y,,87737543-6fee-4b6f-9ebe-def194ebb0f2,Linked geometry: Chelsea and Revere,,N/A,0.1,402.176225439,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
49,Flex to FTA,S12975,"This project updates 15 MBTA Pedal and Park facilities systemwide to provide a more inclusive, accessible, efficient, and user-friendly standard of bike and micromobility parking, wayfinding, and bike maintenance equipment. The project improves Pedal and Park facilities at transit stations in nine municipalities.","$2,500,000",Multiple,"Boston, Braintree, Cambridge, Malden, Quincy, Revere, Salem, Somerville, Westwood",MBTA,MBTA-Systemwide Pedal and Park Modernization,N/A,2025,"4, 6","$2,500,000","$2,500,000",$-,$-,$-,$-,,,,Infrastructure,Transit Transformation,,,,"$2,500,000",,Y,,6db1923e-f580-4e45-8914-af401c390ce8,,,N/A,0.1,2210.29525723047,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
50,Transit Grant Program,S12694,,"$680,911",ICC,Newton,Newton,NewMo Microtransit Service Expansion,87,2025,6,"$680,911",$-,$-,$-,$-,$-,,,,Service,Community Connections,,,,"$680,911",,Y,,a1df53a9-a5bf-44da-9a7a-1e58dca346e0,,,N/A,0.1,356.954608446434,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
51,Flex to FTA,S12701,"This project will expand MetroWest RTA’s existing CatchConnect microtransit service in Framingham, Natick, and Wellesley to include the municipalities of Hudson and Marlborough. This added service region will allow consumers to connect to MWRTA fixed-route services in the area, including the Route 7 traveling north and south to Framingham and the Route 7C travelling east and west through downtown Marlborough. CatchConnect service allows riders to book on-demand trips via an existing mobile application or telephone. The first year of funding for this project was in Federal Fiscal Year 2023 with $141,250 in funding.","$450,163",MWRC,"Marlborough, Hudson",MWRTA,CatchConnect Microtransit Service Expansion (Marlborough and Hudson Expansion),59,2023-2025,3,"$450,163","$159,488",$-,$-,$-,$-,,Funding in 2023 and 2024,2023-2027; 2024-2028,Service,Community Connections,,,,"$450,163",,Y,,85793454-31aa-46e8-a7f4-790fd5f27c9c,"Linked geometry: marlborough, hudson",,N/A,0.1,227.851991368714,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
52,Bicycle and Pedestrian,S12958,"The City of Boston proposes the installation of 1,600 bike racks (3,200 bike parking spaces). These racks are fabricated to slide over existing parking meter poles as part of an ongoing effort by the City to replace all 6,000 single-space parking meters in Boston with multi-space meter kiosks. This project would dramatically increase bicycle parking in Boston’s busiest commercial and job centers.","$590,348",ICC,Boston,Boston,"Boston BlueBikes Station Replacement and Electrification, 12 Stations",76.5,2025,6,"$590,348","$590,348",$-,$-,$-,$-,,,,Infrastructure,Community Connections,,,,"$590,348",,Y,,26ac5161-3dc6-4b3d-be1b-0daaf01baf77,Linked geometry: city of Boston,,N/A,0.1,353.70592224596,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
53,Bicycle and Pedestrian,S12967,"The Town of Scituate will procure 25 bicycle racks providing 50 spaces in North Scituate Village and Scituate Harbor, which are commercial hubs and public open-space facilities. The town centers are hubs for pedestrians and are linked by sidewalks to various areas of open space and recreation, along with shops, grocery stores, and co-working spaces.","$22,800",SSC,Scituate,Scituate,Installation of 25 Bicycle Racks,45.5,2025,5,"$22,800","$22,800",$-,$-,$-,$-,,,,Infrastructure,Community Connections,,,,"$22,800",,Y,,28ef3f76-5b84-4b5c-816f-a41b33dd96e3,Linked geometry: town of Scituate,,N/A,0.1,145.439131666945,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
54,Transit Grant Program,S12968,This project will incorporate cashless payment for ADA and dial-a-ride customers of CATA’s services to improve accessibility for the system.,"$65,000",NSTF,"Gloucester, Rockport, Essex, Ipswich, Hamilton",CATA,CATA- Fare Upgrades for ADA and Dial-a-Ride Customers,N/A,2025,4,"$65,000","$65,000",$-,$-,$-,$-,,,,Service,Transit Transformation,,,,"$65,000",,Y,,9f8c4815-6096-4f44-8b25-562b623739f9,"Linked geometry: Rockport, Gloucester, Hamilton, Essex, Ipswich",,N/A,0.1,249.458163858723,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
55,Flex to FTA,S12976,,"$5,000,000",ICC,Boston,MBTA,MBTA-Nubian Square Accessibility and Operational Improvements,N/A,2025,6,"$5,000,000","$5,000,000",$-,$-,$-,$-,,,,Infrastructure,Transit Transformation,,,,"$5,000,000",,Y,,4caba47f-7fa2-4b9c-ba8f-b31cf1446f6b,,,N/A,0.1,433.100405690235,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
56,Flex to FTA,S12819,"This project includes construction of a new elevator, modernization of an existing elevator, lighting improvements, busway reconfiguration, and various state-of- good-repair improvements to Jackson Square Station on the MBTA’s Orange Line. This project was funded for $12.25 million in FFY 2024 in the FFY 2024–28 TIP, with a total funding contribution between FFYs 2024 and 2025 of $33,500,000 by the Boston Region MPO.","$33,500,000",ICC,Boston,MBTA,Jackson Square Station Accessibility Improvements,N/A,2024-2025,6,"$33,500,000","$21,250,000",$-,$-,$-,$-,,Funding in 2024,2024-2028,Infrastructure,Transit Transformation,,,,"$33,500,000",,Y,,cd5cee7b-4c58-4f42-b3e0-39133e234299,,,N/A,0.1,295.909323207917,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
57,Flex to FTA,S12974,,"$5,000,000",ICC,Cambridge,MBTA,MBTA-Central Square Station Accessibility Improvements,N/A,2025,6,"$5,000,000","$5,000,000",$-,$-,$-,$-,,,,Infrastructure,Transit Transformation,,,,"$5,000,000",,Y,,53883c40-c151-415d-82f8-90d988b3cb62,,,N/A,0.1,457.781734301863,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
58,Bicycle and Pedestrian,S12960,"The City of Cambridge proposes replacing eight Bluebikes Stations that have reached the end of their useful life. These stations include Central Square at Massachusetts Avenue and Essex Street, Lafayette Square at Massachusetts Avenue and Main Street, Lower Cambridgeport at Magazine Street, One Broadway/Kendall Square at Main Street, Harvard University Housing at Peabody Terrace, Harvard University River Houses at DeWolfe Street, Linear Park at Massachusetts Avenue and Cameron Avenue, and Porter Square Station. The City further proposes the replacement of 65 pedal bicycles that have reached the end of their useful life.","$385,456",ICC,Cambridge,Cambridge,"Cambridge BlueBikes State of Good Repair, 8 Stations and 65 Pedal Bikes",68.5,2025,6,"$385,456","$385,456",$-,$-,$-,$-,,,,Infrastructure,Community Connections,,,,"$385,456",,Y,,7562c48f-8748-4c43-bae5-b9f88f8e37f5,Linked geometry: city of Cambridge,,N/A,0.1,181.777532830305,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
59,Bicycle and Pedestrian,S12965,,"$90,878",ICC,Arlington,Arlington,Installation of 123 Bicycle Racks and Related Materials,74.5,2025,4,"$90,878","$90,878",$-,$-,$-,$-,,,,Infrastructure,Community Connections,,,,"$90,878",,Y,,d0dfe1b1-b78a-47fb-9328-3a0f6c557116,Linked geometry: town of Arlington,,N/A,0.1,197.271259993015,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
60,Bicycle and Pedestrian,S12961,"The Town of Brookline will replace three Bluebikes stations at Beacon and Centre Streets, Beacon at Tappan Street, and Brookline Village–Station Street, as the stations have reached the end of their useful life. The stations at Coolidge Corner and Brookline Village have the greatest ridership within Brookline’s network. These sites offer connections to multiple MBTA Green Line stations and bus routes, including the C and D Branches of the Green Line and the Route 66 and 65 high-frequency bus routes. The project will also replace 62 pedal bicycles that have reached the end of their useful life.","$200,000",ICC,Brookline,Brookline,"Brookline BlueBikes State of Good Repair, 3 Stations and 62 Pedal Bikes",68.5,2025,6,"$200,000","$200,000",$-,$-,$-,$-,,,,Infrastructure,Community Connections,,,,"$200,000",,Y,,f2aae68f-f787-4b0e-8563-93bedb9ec732,Linked geometry: town of Brookline,,N/A,0.1,148.580863903343,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
61,Bicycle and Pedestrian,S12962,"The City of Somerville proposes replacing 13 Bluebikes stations that have reached the end of their useful life. These stations include Somerville City Hall, Union Square Station, Beacon Street at Washington Street, Conway Park, Wilson Square, Davis Square, Ball Square, Powder House Circle/Nathan Tufts Park, Packard Avenue, Teele Square, 191 Beacon Street, Perry Park, and Broadway at Mount Pleasant Street.","$278,127",ICC,Somerville,Somerville,"Somerville Bluebikes State of Good Repair, 13 Stations",67.5,2025,4,"$278,127","$278,127",$-,$-,$-,$-,,,,Infrastructure,Community Connections,,,,"$278,127",,Y,,4b77febe-6d2e-45ed-acc5-d3bdb33f426b,Linked geometry: city of Somerville,,N/A,0.1,171.482891782729,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
62,Transit Grant Program,S12699,"This project will create a local shuttle service that will connect Stoneham residents and employees of Stoneham businesses to transportation options in surrounding communities during peak hours and within Stoneham during non-peak hours. The primary goal of this project is to fill gaps in the existing MBTA service network by creating an east-west connection across Stoneham where only north-south MBTA bus service exists today. The Town plans to use a 24-passenger bus that would operate on a 12-hour/day schedule Monday-Friday, with shorter hours on Saturday. During peak hours, the shuttle would stop at defined destinations along the route. During off-peak hours, the shuttle could go off-route based on the needs of riders. This project is funded through the third round of grants available through the MPO’s Community Connections Program and was funded for $330,189 in FFY 2023 and $261,439 in FFY 2024.","$796,817",NSPC,Stoneham,Stoneham,Stoneham Shuttle Service,72,2023-2025,4,"$796,817","$205,189",$-,$-,$-,$-,,Funding in 2024,2023-2027; 2024-2028,Service,Community Connections,,,,"$796,817",,Y,,695b264e-7314-4736-8f61-cc5b8d8a78bd,Linked geometry: town of stoneham,,N/A,0.1,170.291759705647,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
63,Transit Grant Program,S12972,"The MWRTA is requesting $1,980,000 from FFY 2025 of the Transit Transformation Program to purchase three 29-foot low-floor bus vehicles powered by compressed natural gas (CNG) for its Route 4N and Route 4S bus routes in Framingham. The MWRTA currently operates cutaway van vehicles on those routes, which at times have insufficient capacity for safe usage by riders during peak travel hours. These vehicles would be the first of their type for the MWRTA fleet and would be a step towards later adoption of other lowemission vehicles to improve service.","$1,980,000",Multiple,"Hudson, Sudbury, Wayland, Weston, Framingham, Natick, Ashland, Wellesley, Marlborough, Southborough, Sherborn, Dover, Hopkinton, Holliston",MWRTA,MWRTA-Procurement of Three 29 Foot Buses (CNG),52.2,2025,3,"$1,980,000","$1,980,000",$-,$-,$-,$-,,,,Infrastructure,Transit Transformation,,,,"$1,980,000",,Y,,8bc69c85-a771-4df9-9ad2-b1e70e85c051,,,N/A,0.1,231.046824998107,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
